artistName,msPlayed
(Hed) P.E.,570
... Bender,211293
10 Years,9418
156/Silence,1661642
3 Doors Down,32737
311,15610
36 Crazyfists,258698
A Day To Remember,71932
A Perfect Circle,6288729
A Sense of Purpose,894
AC/DC,299267
AFI,213841
Aaron Lewis,2052
Aaron Neville,102540
Abandon All Ships,3504
Abbie Falls,18993
"Above, Below",1175
Acadence,121511
Acres,457
Adestria,1637
Aerosmith,11579
After Forever,1438
After The Burial,2779413
Agitation Free,102387
Air,1738158
Akord,544083
Al Green,16589
Alabama Shakes,616625
Alaska,214465
Albert Hammond Jr,187431
Alexisonfire,15805
Aleyna Moon,166986
Alice In Chains,27328401
Alien Ant Farm,2388
Aligns,1051130
All That Remains,1971493
All Them Witches,564096
Allman Brothers Band,640721
Allt,921491
Alluvial,1936
Alter Bridge,4429542
Alvvays,2351
America,465764
Amy Winehouse,1061
Anberlin,936
Andrew Prahlow,93219
Anieszka,228527
Animals As Leaders,263206
Anne Wilson,8126
Anti-Spirit,159699
Any Given Day,240800
Apocalyptica,6125
Architects,1292873
Arctic Monkeys,25135667
Aretha Franklin,994
Arlo,140728
Armin van Buuren,170578
Armored Saint,215306
Artemas,142515
As A Conceit,273859
AshZone,192000
Asking Alexandria,185
At the Drive-In,157308
Atreyu,6345683
Attack Attack!,1022
Audioslave,11838782
August Burns Red,253941
Aunt Cynthia's Cabin,264466
Avenged Sevenfold,2639606
Average White Band,1451
Aviana,406358
B.B. King,1432
BINA.,191236
Backstreet Boys,156485
Bad Company,793701
Bad Omens,470184
Bad Wolves,607
Bananarama,998
Baron Black,171789
Baroness,4159560
Beach House,2534
Beach Weather,2525
Beastie Boys,391847
Beck,10055
Bee Gees,198722
Ben E. King,958
Ben Harper And Relentless7,783
Better Than Ezra,1627
Beyond Extinction,426878
Biffy Clyro,4266
Big Wreck,2675
Bill Withers,1235343
Billy Corgan,785
Billy Idol,6619848
Billy Squier,4371
Binta,175384
Björk,2211
Black Cat Bones,163105
Black Label Society,310511
Black Rebel Motorcycle Club,1350
Black Sabbath,5147766
Black Stone Cherry,672992
Black Tooth Grin,411627
Blank Space,460125
Bleed From Within,883181
Bless You,179125
Blind Melon,75919
Bloc Party,844025
Bloody Immigrants,173360
Blue Swede,3645
Blue Öyster Cult,1184643
Blues Cousins,192000
Blues Traveler,19334
Blur,670
"Bobby ""Blue"" Bland",231854
Bobby Caldwell,8502465
Bobby Darin,2020
Bon Jovi,1074
Boston,60389
Boy Hits Car,7657731
Brandon Boyd,701
Brann Dailor,1642
Brayden Potts,151402
Breakdown of Sanity,1406602
Breaking Benjamin,380154
Breaking Orbit,52704
Bring Me The Horizon,149883
Broken Bells,531386
Bruno Mars,1592639
Bryan Adams,540
Buckcherry,8609
Buckethead,670
Buffalo Springfield,153693
Bullet For My Valentine,450266
Bury Tomorrow,976062
Bush,635608
Butthole Surfers,3076
CAKE,216450
CKY,3452
Cafuné,7231
Cage The Elephant,3025084
Candlebox,42610
Cane Hill,1108094
Canned Heat,925
Carla Prata,154494
Carole King,763
Carpenter Brut,13536
Caskets,1650
Catherine Russell,858
Celldweller,332305
Chad Kroeger,190634
Cherrykim,302632
Chevelle,71216
Chicago,591420
Chikoi The Maid,231243
Childish Gambino,395564
Children Of Bodom,7466323
Chris Cornell,363022
City and Colour,5205
Coeur Noir,297955
Coheed and Cambria,3364
Cold,6424
Coldplay,300793
Collective Soul,28835
Combust,193666
Commentaryy,1978939
Conception,867
Confide,953
Conzemius,331472
Corelia,23320615
Corey Taylor,1581
Cosmic Joke,108779
Couch Wizard,244624
Counting Crows,3210
Cracker,3513
Crazy Town,5918
Cream,110621
Creed,429454
Creedence Clearwater Revival,1376099
"Crosby, Stills, Nash & Young",806
Crossfade,587160
Crowbar,2695
Crystal Lake,537966
Currents,1453891
Cutting Crew,1087
Cydnee with a C,333119
D.O.H. Dollahz Ova Hoez,165665
DOWN,1184
Daedric,13771
Damageplan,1902
Damian Ukeje,597382
Dan Auerbach,427986
Dana Fuchs,118773
Dance Gavin Dance,76249
Daniel Caesar,3465811
Danzig,1181627
Dark new Day,8892
Darkest Hour,10940
Daron Malakian and Scars On Broadway,2965
Daryl Hall & John Oates,1046136
Daughtry,1106
Dave Matthews Band,54770
David Guetta,11935
Dawid Podsiadło,227046
Days Of The New,8724
Dayshell,848
Dead Air,9711
Dead End Irony,271826
Dead Icarus,16304
Dead Letter Circus,1653
Dead Or Alive,488
Dead Sara,4011
